City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
West Wendover,40.7391,-114.0733,67.21,22,0,5.75,US,1655781329
Adrar,20.5022,-10.0711,77.59,67,100,5.48,MR,1655781577
Melfi,40.9965,15.6514,61.48,66,0,8.77,IT,1655781578
Kibaya,-5.3,36.5667,49.21,95,33,3.38,TZ,1655781578
Iqaluit,63.7506,-68.5145,44.33,70,20,9.22,CA,1655781579
Lavrentiya,65.5833,-171.0,42.06,89,100,12.5,RU,1655781580
Morondava,-20.2833,44.2833,66.16,65,0,7.81,MG,1655781581
Vaini,-21.2,-175.2,78.96,83,75,12.66,TO,1655781581
George Town,5.4112,100.3354,84.15,79,40,3.44,MY,1655781327
Sanchazi,42.0817,126.6003,72.32,84,100,4.54,CN,1655781583
Sarāi Mīr,26.0167,82.9167,93.27,42,11,7.94,IN,1655781583
Yichun,47.7,128.9,79.38,37,48,14.9,CN,1655781584
Plainview,40.7765,-73.4673,71.46,68,0,3.44,US,1655781585
Comodoro Rivadavia,-45.8667,-67.5,35.46,64,75,11.5,AR,1655781585
Nardaran,40.5561,50.0056,74.84,64,0,6.91,AZ,1655781586
Nagua,19.3832,-69.8474,76.8,86,63,5.82,DO,1655781587
Ibrā’,22.6906,58.5334,87.08,48,17,3.58,OM,1655781587
Ganzhou,28.8184,115.4327,81.79,87,98,8.86,CN,1655781588
Talnakh,69.4865,88.3972,76.21,35,100,11.5,RU,1655781589
Coahuayana Viejo,18.7333,-103.6833,80.78,81,99,1.97,MX,1655781589
Sinnamary,5.3833,-52.95,77.25,85,8,6.29,GF,1655781590
Porto-Novo,6.4965,2.6036,74.98,92,60,4.56,BJ,1655781591
Havøysund,70.9963,24.6622,52.03,68,100,17.07,NO,1655781592
Bjørnevatn,69.6672,29.9847,49.62,76,0,12.66,NO,1655781592
Narsaq,60.9167,-46.05,43.02,97,100,5.41,GL,1655781593
Charlestown,-32.95,151.6667,69.12,64,1,4.0,AU,1655781594
Trat,12.5,102.5,88.0,72,82,6.69,TH,1655781594
Manado,1.487,124.8455,90.37,58,40,8.05,ID,1655781595
Province of Trapani,37.8333,12.6667,73.27,77,0,4.61,IT,1655781596
São João da Barra,-21.6403,-41.0511,69.87,87,2,8.75,BR,1655781596
Saint-Philippe,-21.3585,55.7679,63.99,65,50,7.92,RE,1655781597
Haines Junction,60.7522,-137.5108,58.95,41,91,11.5,CA,1655781598
Kathmandu,27.7167,85.3167,77.22,69,75,3.44,NP,1655781590
Norman Wells,65.282,-126.8329,62.64,63,75,18.41,CA,1655781460
Brainerd,46.358,-94.2008,76.66,69,3,15.28,US,1655781600
Yumen,40.2833,97.2,73.85,27,100,8.39,CN,1655781600
Straumen,63.8709,11.2999,53.6,80,100,1.83,NO,1655781601
Camacha,33.0833,-16.3333,62.02,72,40,10.36,PT,1655781602
Teya,60.3778,92.6267,73.54,43,6,5.57,RU,1655781603
Vitim,59.4511,112.5578,49.08,86,100,10.31,RU,1655781603
Antsohihy,-14.8796,47.9875,68.27,63,0,9.93,MG,1655781604
Kavieng,-2.5744,150.7967,85.15,64,64,6.42,PG,1655781605
La Esperanza,14.8667,-91.5667,55.62,99,100,2.55,GT,1655781606
Clyde River,70.4692,-68.5914,37.63,81,40,11.5,CA,1655781607
Nador,35.174,-2.9287,70.05,73,0,8.05,MA,1655781608
Keflavik,64.0049,-22.5624,44.51,100,75,4.61,IS,1655781608
Faya,18.3851,42.4509,64.92,33,23,3.49,SA,1655781609
Chokurdakh,70.6333,147.9167,49.03,32,94,9.44,RU,1655781610
Le Marin,14.4721,-60.8697,78.71,83,40,3.44,MQ,1655781611
Tasiilaq,65.6145,-37.6368,39.36,73,98,7.45,GL,1655781611
Udachny,66.4167,112.4,66.45,29,13,6.51,RU,1655781612
Monrovia,6.3005,-10.7969,76.06,87,100,4.9,LR,1655781613
Burnie,-41.0667,145.9167,58.95,63,86,8.77,AU,1655781614
Kaitangata,-46.2817,169.8464,46.87,76,0,3.15,NZ,1655781615
Yamada,39.4667,141.95,70.48,69,56,4.68,JP,1655781615
Mackay,-21.15,149.2,76.68,74,98,16.67,AU,1655781514
Lagoa,39.05,-27.9833,63.39,88,96,19.89,PT,1655781617
Bluff,-46.6,168.3333,42.8,73,0,4.29,NZ,1655781618
St. George's,12.0564,-61.7485,80.28,83,40,11.5,GD,1655781618
Naryan-Mar,67.6713,53.087,46.36,77,93,12.37,RU,1655781619
Port Hedland,-20.3167,118.5667,82.45,28,0,17.27,AU,1655781620
Hithadhoo,-0.6,73.0833,82.92,73,63,11.95,MV,1655781621
Beringovskiy,63.05,179.3167,48.56,78,61,15.48,RU,1655781621
Codrington,-38.2667,141.9667,55.87,69,46,11.65,AU,1655781622
Ilulissat,69.2167,-51.1,33.82,93,100,10.36,GL,1655781623
Coquimbo,-29.9533,-71.3436,51.53,76,100,2.3,CL,1655781624
Grand Baie,-20.0182,57.5802,68.47,61,1,13.33,MU,1655781523
Kaabong,3.4836,34.1492,60.46,83,36,4.12,UG,1655781625
Lázaro Cárdenas,17.9583,-102.2,80.6,82,88,2.75,MX,1655781626
Luanda,-8.8368,13.2343,65.57,86,1,8.55,AO,1655781627
Río Gallegos,-51.6226,-69.2181,28.45,86,40,12.66,AR,1655781627
Namatanai,-3.6667,152.4333,84.97,68,26,4.79,PG,1655781628
Severo-Kuril'sk,50.6789,156.125,49.19,87,96,12.73,RU,1655781629
Hutang,31.5333,119.4833,89.83,51,77,9.17,CN,1655781630
Namioka,40.7072,140.5894,77.22,60,20,6.91,JP,1655781630
Mnogovershinnyy,53.9353,139.9242,73.06,47,0,6.4,RU,1655781631
San Rafael del Sur,11.8485,-86.4384,74.37,95,100,6.53,NI,1655781632
Paamiut,61.994,-49.6678,37.15,92,100,12.12,GL,1655781632
Ribeira Grande,38.5167,-28.7,64.8,89,97,21.45,PT,1655781633
Labuhan,-6.8844,112.2051,84.25,68,84,4.0,ID,1655781634
Mount Gambier,-37.8333,140.7667,56.66,68,14,8.23,AU,1655781635
Pesca,5.55,-73.05,49.91,96,100,0.69,CO,1655781635
Mount Isa,-20.7333,139.5,78.57,31,100,12.66,AU,1655781636
Le Port,-20.9373,55.2919,66.25,78,31,2.68,RE,1655781637
Hobart,-42.8794,147.3294,59.25,68,75,9.22,AU,1655781427
Dublin,37.7021,-121.9358,84.9,49,0,11.5,US,1655781440
Salalah,17.0151,54.0924,82.49,89,75,11.5,OM,1655781639
Beisfjord,68.3751,17.5988,52.05,76,98,6.06,NO,1655781640
Ust-Tsilma,65.441,52.1498,52.95,83,100,7.94,RU,1655781640
Marawi,7.9986,124.2928,74.75,87,100,1.97,PH,1655781641
Samaná,19.2056,-69.3369,77.79,82,49,7.72,DO,1655781642
Koronowo,53.3137,17.937,52.54,100,100,9.42,PL,1655781642
Ekimchan,53.0667,132.9667,72.75,47,45,8.14,RU,1655781643
Carnarvon,-24.8667,113.6333,72.03,45,0,11.3,AU,1655781644
Arrondissement de Saint-Denis,48.9167,2.3333,63.36,78,75,9.22,FR,1655781645
Tabas,33.5959,56.9244,86.22,17,0,0.0,IR,1655781645
City of San Pedro,14.35,121.0167,89.35,69,40,6.91,PH,1655781646
Aketi,2.7388,23.7833,67.59,99,98,0.27,CD,1655781647
Moses Lake,47.1301,-119.2781,77.68,38,20,18.41,US,1655781647
Mocuba,-16.8392,36.9856,62.01,94,75,3.44,MZ,1655781648
Hamilton,39.1834,-84.5333,71.22,74,0,4.61,US,1655781553
San Juan del Sur,11.2529,-85.8705,75.29,93,100,4.5,NI,1655781649
Katobu,-4.9408,122.5276,79.5,85,86,8.61,ID,1655781650
Banjar,-8.19,114.9675,85.84,61,27,1.34,ID,1655781651
Provideniya,64.3833,-173.3,41.36,100,100,11.18,RU,1655781651
Andradas,-22.0681,-46.5692,59.36,88,0,4.38,BR,1655781652
Bose,45.4612,8.0137,72.21,83,27,2.24,IT,1655781653
Manzhouli,49.6,117.4333,73.78,42,0,20.2,CN,1655781653
Lockhart,28.6194,-81.4426,80.92,80,0,6.91,US,1655781654
Anadyr,64.75,177.4833,61.3,55,40,11.18,RU,1655781655
Bandarbeyla,9.4942,50.8122,80.67,63,97,30.24,SO,1655781655
Buchach,49.0625,25.388,61.25,93,53,9.37,UA,1655781656
Pasni,25.2631,63.471,85.73,70,0,11.21,PK,1655781657
Tuktoyaktuk,69.4541,-133.0374,39.2,75,20,10.36,CA,1655781658
Okha,53.5739,142.9478,55.24,76,19,16.93,RU,1655781658
Puerto Escondido,15.85,-97.0667,79.3,89,100,4.09,MX,1655781659
Ancud,-41.8697,-73.8203,38.23,86,76,7.96,CL,1655781660
Lebu,-37.6167,-73.65,47.82,89,100,10.22,CL,1655781660
Port Lincoln,-34.7333,135.8667,61.54,73,96,17.65,AU,1655781661
Leningradskiy,69.3833,178.4167,44.82,83,100,10.11,RU,1655781662
Kajaani,64.2273,27.7285,44.65,93,20,4.61,FI,1655781664
Murray Bridge,-35.1167,139.2667,61.12,55,31,12.53,AU,1655781665
Rocha,-34.4833,-54.3333,44.1,71,100,5.97,UY,1655781666
Tagusao,9.1924,117.8141,85.08,68,81,4.36,PH,1655781667
Cobija,-11.0267,-68.7692,70.9,81,73,1.5,BO,1655781668
Port-Gentil,-0.7193,8.7815,73.15,83,47,16.35,GA,1655781668
Te Anau,-45.4167,167.7167,43.12,81,3,1.25,NZ,1655781669
Kumul,42.8,93.45,89.08,16,82,12.37,CN,1655781670
Pahrump,36.2083,-115.9839,86.05,11,0,0.81,US,1655781670
Fort Frances,48.5999,-93.4003,69.17,27,64,5.01,CA,1655781671
Mthatha,-31.5889,28.7844,46.96,100,40,3.44,ZA,1655781672
Markova,48.6758,24.4138,59.77,88,43,3.24,UA,1655781673
Saint-Leu,-21.15,55.2833,65.32,68,14,10.11,RE,1655781673
Jalu,29.0331,21.5482,78.44,32,0,6.91,LY,1655781674
Alice Springs,-23.7,133.8833,71.15,32,0,12.66,AU,1655781675
Zaraza,9.3503,-65.3245,74.07,89,94,3.51,VE,1655781676
Dingle,10.9995,122.6711,81.54,83,100,3.31,PH,1655781677
Bodden Town,19.2833,-81.25,82.4,84,0,9.22,KY,1655781677
Griffith,41.5284,-87.4237,81.9,51,0,5.75,US,1655781678
Coyhaique,-45.5752,-72.0662,32.61,93,20,3.44,CL,1655781679
São Félix do Xingu,-6.6447,-51.995,69.4,68,6,1.16,BR,1655781680
Santa Rosa,14.3122,121.1114,90.1,68,40,9.33,PH,1655781680
Goderich,43.7501,-81.7165,65.91,90,38,12.48,CA,1655781681
Vila Velha,-20.3297,-40.2925,67.95,87,75,4.61,BR,1655781454
Rabo de Peixe,37.8,-25.5833,65.28,86,75,9.22,PT,1655781682
Soyo,-6.1349,12.3689,70.88,82,41,10.36,AO,1655781683
Cayenne,4.9333,-52.3333,77.09,1,0,0.0,GF,1655781684
Saldanha,-33.0117,17.9442,53.65,63,97,4.25,ZA,1655781686
Santa Inês,-3.6667,-45.38,71.64,89,86,1.81,BR,1655781687
Hasaki,35.7333,140.8333,82.8,81,100,8.55,JP,1655781688
Slave Lake,55.2834,-114.769,64.38,55,0,4.61,CA,1655781689
Christchurch,-43.5333,172.6333,51.42,67,4,10.36,NZ,1655781647
Kibakwe,-6.7167,36.3667,54.25,74,4,3.18,TZ,1655781690
Lüderitz,-26.6481,15.1594,56.71,63,94,7.54,NA,1655781690
San Andrés,12.5847,-81.7006,80.62,89,40,8.05,CO,1655781691
Pangnirtung,66.1451,-65.7125,40.17,76,3,4.65,CA,1655781692
San Quintín,30.4833,-115.95,65.79,75,0,7.14,MX,1655781693
Union,40.6334,-74.2663,73.89,55,0,3.44,US,1655781470
Dudinka,69.4058,86.1778,76.62,39,99,14.72,RU,1655781694
Florida,28.7505,-82.5001,78.75,89,0,6.91,US,1655781612
Madikeri,12.4167,75.7333,66.02,92,100,3.98,IN,1655781695
Esperance,-33.8667,121.9,63.46,68,17,11.97,AU,1655781696
Takoradze,4.8845,-1.7554,75.38,91,18,5.66,GH,1655781696
Lokomotivnyy,53.0118,60.5684,56.7,75,33,15.88,RU,1655781697
Khāsh,28.2211,61.2158,72.37,23,0,9.17,IR,1655781698
Mogok,22.9167,96.5,73.38,78,82,3.18,MM,1655781698
Mikkeli,61.6886,27.2723,56.14,87,75,2.3,FI,1655781699
Jiuquan,39.7432,98.5174,74.82,28,84,5.75,CN,1655781700
Betafo,-19.8333,46.85,46.15,93,11,5.21,MG,1655781700
Aitape,-3.1374,142.3475,84.9,69,55,7.58,PG,1655781701
Alofi,-19.0595,-169.9187,82.29,83,20,6.91,NU,1655781702
Yulara,-25.2406,130.9889,67.24,41,0,14.03,AU,1655781703
Kvarkeno,52.0833,59.725,59.43,70,30,17.98,RU,1655781703
Salinópolis,-0.6136,-47.3561,77.54,85,6,8.95,BR,1655781704
Chunhuhub,19.55,-88.6833,71.78,99,100,2.01,MX,1655781705
Dunedin,-45.8742,170.5036,48.04,70,0,3.65,NZ,1655781144
Nioro,13.35,-15.75,78.58,82,100,3.56,GM,1655781706
Upernavik,72.7868,-56.1549,32.99,90,88,9.62,GL,1655781488
Airai,-8.9266,125.4092,70.48,58,98,4.18,TL,1655781707
Balkanabat,39.5108,54.3671,86.49,19,0,7.09,TM,1655781708
Syumsi,57.1111,51.6149,54.1,85,100,11.41,RU,1655781709
Loukhi,66.0764,33.0381,45.95,86,100,2.64,RU,1655781710
Baruun-Urt,46.6806,113.2792,78.4,27,100,13.65,MN,1655781711
Miraflores,19.2167,-98.8083,66.02,71,97,3.6,MX,1655781712
Gunjur,13.2019,-16.7339,75.27,94,0,0.0,GM,1655781712
Wajima,37.4,136.9,83.08,65,100,4.61,JP,1655781713
Buala,-8.145,159.5921,82.89,77,78,6.44,SB,1655781714
Acarí,-15.4311,-74.6158,62.92,74,52,3.02,PE,1655781714
Banfora,10.6333,-4.7667,73.89,90,100,4.03,BF,1655781715
Mandera,3.9366,41.867,75.27,68,98,16.44,KE,1655781716
Tshikapa,-6.4167,20.8,70.92,71,59,1.5,CD,1655781716
Juneau,58.3019,-134.4197,55.4,92,100,11.5,US,1655781483
Sydney,-33.8679,151.2073,71.31,62,40,5.75,AU,1655781601
Edd,13.9297,41.6925,89.17,51,69,3.53,ER,1655781718
Cockburn Town,21.4612,-71.1419,81.25,81,76,16.82,TC,1655781719
Shimokizukuri,40.8061,140.3861,77.41,61,8,5.06,JP,1655781719
Vung Tau,10.346,107.0843,85.03,70,89,6.87,VN,1655781720
Mahon,39.8885,4.2658,73.96,94,96,12.66,ES,1655781577
Biltine,14.5333,20.9167,84.97,33,69,11.21,TD,1655781721
Ishigaki,24.3448,124.1572,89.73,79,20,13.8,JP,1655781722
Morant Bay,17.8815,-76.4093,82.02,81,99,8.03,JM,1655781723
Raduzhny,62.0961,77.475,75.85,48,13,11.77,RU,1655781724
San Patricio,28.017,-97.5169,85.89,72,100,10.54,US,1655781725
Hulan Ergi,47.2042,123.6333,83.89,37,1,17.09,CN,1655781725
Thayetmyo,19.3167,95.1833,84.7,65,97,9.71,MM,1655781726
Acapulco de Juárez,16.8634,-99.8901,82.22,83,100,0.0,MX,1655781661
Port Shepstone,-30.7414,30.455,62.67,86,28,10.74,ZA,1655781727
Tautira,-17.7333,-149.15,79.61,72,62,12.75,PF,1655781728
La Libertad,-2.2333,-80.9,70.12,84,90,6.26,EC,1655781729
Raymond,43.9015,-70.4703,55.47,86,94,2.62,US,1655781731
Road Town,18.4167,-64.6167,80.69,71,0,14.03,VG,1655781661
Yar-Sale,66.8333,70.8333,60.62,94,100,7.34,RU,1655781733
Iwanai,42.9744,140.5089,73.53,56,97,6.58,JP,1655781733
Eséka,3.65,10.7667,65.64,99,35,1.12,CM,1655781734
Chiredzi,-21.05,31.6667,59.97,82,75,4.81,ZW,1655781735
Tigil',57.8,158.6667,59.83,61,96,5.77,RU,1655781736
Avera,33.194,-82.5271,76.55,36,98,5.68,US,1655781736
Muzhi,65.3667,64.6667,65.68,74,94,12.82,RU,1655781737
Yangi Marg`ilon,40.4272,71.7189,66.92,68,100,2.3,UZ,1655781738
Chapais,49.7834,-74.8492,62.38,51,100,6.15,CA,1655781739
Biak,-0.9131,122.8766,81.03,74,49,8.41,ID,1655781739
Darhan,49.4867,105.9228,67.77,60,100,6.67,MN,1655781740
Daru,-9.0763,143.2092,77.56,89,100,18.14,PG,1655781741
Onokhoy,51.932,108.0747,76.75,36,0,9.26,RU,1655781742
Leh,34.1667,77.5833,51.13,42,96,3.78,IN,1655781743
Banda Aceh,5.5577,95.3222,82.2,75,100,12.39,ID,1655781743
Alyangula,-13.8483,136.4192,80.28,57,92,14.63,AU,1655781744
Sørland,67.667,12.6934,49.86,96,100,31.45,NO,1655781745
Fort Nelson,58.8053,-122.7002,71.19,46,75,2.3,CA,1655781747
Boyolangu,-8.1181,111.8935,82.62,69,75,10.56,ID,1655781747
Datong,40.0936,113.2914,82.98,34,100,5.61,CN,1655781459
Vila Franca do Campo,37.7167,-25.4333,66.2,90,76,7.34,PT,1655781749
Akureyri,65.6835,-18.0878,46.67,83,10,4.88,IS,1655781548
Ulladulla,-35.35,150.4667,58.77,55,99,8.12,AU,1655781750
Ust'-Barguzin,53.45,108.9833,57.13,70,16,4.05,RU,1655781751
Pampierstad,-27.7832,24.6877,54.63,65,0,15.7,ZA,1655781751
Zyryanovsk,49.7386,84.2719,67.51,70,100,0.89,KZ,1655781752
Cooma,-36.2333,149.1333,46.36,81,100,10.67,AU,1655781753
Sfântu Gheorghe,45.8667,25.7833,66.27,85,20,0.31,RO,1655781754
Carballo,43.213,-8.691,58.01,92,92,4.45,ES,1655781578
Shimoda,34.6667,138.95,80.1,93,100,8.21,JP,1655781755
Novonukutskiy,53.7002,102.7117,68.9,66,6,7.34,RU,1655781756
Reguengos de Monsaraz,38.4253,-7.5349,54.41,86,52,4.18,PT,1655781757
Ocean City,39.2776,-74.5746,66.22,80,100,5.99,US,1655781699
Qinhuangdao,39.9317,119.5883,83.43,65,96,10.31,CN,1655781758
Muskegon,43.3,-86.1334,72.81,64,0,4.61,US,1655781759
